sa4_name_2016,sa4_code,anzsco,unempratemvmt,score00,averageannualmvmt20132016mvmt,score0001,housepiceandrentpurchaseprice,weeklyrentprice,purchasescore,rentscore,incomemedian,score,occunemp,occempscore,patentsincreasepat,increasetrade,increasenewbusiness,scorepatents,scoretrademarks,scoreentries,unemprate,unempscore,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,sa4_code,NSWscore,state,propjvinc201316,jv_score,priorityoccup_score,occupunemprate,occunempscore,numbus_industry201315mvmt,_201315score
Capital Region,101,11,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,0,1,0,1.775513209,3,5.6,3
Capital Region,101,12,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,12.98917569,1,0,1.775513209,3,5.6,3
Capital Region,101,13,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,125.7944587,3,1,1.934726957,2,5.6,3
Capital Region,101,14,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,60.24204393,2,0,1.38456451,3,5.6,3
Capital Region,101,21,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,9.459459459,0,0,3.044104943,1,5.6,3
Capital Region,101,22,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,128.2010096,3,0,2.395599968,2,5.6,3
Capital Region,101,23,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,55.50151976,2,2,2.744430198,2,5.6,3
Capital Region,101,24,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,88.50221767,1,1,1.983106736,2,5.6,3
Capital Region,101,25,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,153.2659637,3,3,0.842000852,3,5.6,3
Capital Region,101,26,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,26.48698885,0,1,2.189164464,2,5.6,3
Capital Region,101,27,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,79.0922619,1,1,1.637641677,3,5.6,3
Capital Region,101,31,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,44.91193738,2,1,1.48376513,3,5.6,3
Capital Region,101,32,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,63.79310345,2,2,3.672178202,0,5.6,3
Capital Region,101,33,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,78.68525896,2,3,3.087091782,1,5.6,3
Capital Region,101,34,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,316.6219839,3,2,3.928639959,0,5.6,3
Capital Region,101,35,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,50.43010753,3,2,3.215717391,1,5.6,3
Capital Region,101,36,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,104.6106557,0,0,4.462419792,0,5.6,3
Capital Region,101,39,14.78292198,1,143.6046957,3,320,320,2,2,60100,2,,,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,1,220.1716738,3,0,1.495232111,3,5.6,3
