SA4_NAME_2016,ANZSCO,SA4 code,unempratemvmt,score,averageannualmvmt20132016mvmt,score,housepiceandrentpurchaseprice,weeklyrentprice,purchasescore,rentscore,incomemedian ,score,occunemp201315mvmt,201315score,patentsincreasepat,increasetrade,increasenewbusiness,scorepatents,scoretrademarks,scoreentries,unemprate_SA4,unempscore_SA4,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,all_sa4_codes,_11prop,_11_score,anzscocode,_12prop,_12_score,_13prop,_13_score,_14prop,_14_score,_21prop,_21_score,_22prop,_22_score,_23prop,_23_score,_24prop,_24_score,_25prop,_25_score,_26prop,_26_score,_27prop,_27_score,_31prop,_31_score,_32prop,_32_score,_33prop,_33_score,_34prop,_34_score,_35prop,_35_score,_36prop,_36_score,_39prop,_39_score,_41prop,_41_score,_42prop,_42_score,_43prop,_43_score,_44prop,_44_score,_45prop,_45_score,_51prop,_51_score,_52prop,_52_score,_53prop,_53_score,_54prop,_54_score,_55prop,_55_score,_56prop,_56_score,_59prop,_59_score,_61prop,_61_score,_62prop,_62_score,_63prop,_63_score,_71prop,_71_score,_72prop,_72_score,_73prop,_73_score,_74prop,_74_score,_81prop,_81_score,_82prop,_82_score,_83prop,_83_score,_84prop,_84_score,_85prop,_85_score,_89prop,_89_score,anzsco2,nswscore,state
Capital Region,11,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,1
Capital Region,12,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,1
Capital Region,13,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,,13,,,125.7944587,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,1
Capital Region,14,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,,14,,,,,32.37370994,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,1
Capital Region,21,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,,21,,,,,,,-49.99818689,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,1
Capital Region,22,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,,22,,,,,,,,,128.2010096,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,1
Capital Region,23,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,,23,,,,,,,,,,,38.61335384,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,1
Capital Region,24,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,,24,,,,,,,,,,,,,21.42658895,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,1
Capital Region,25,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,,25,,,,,,,,,,,,,,,153.2659637,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,1
Capital Region,26,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,101,,,26,,,,,,,,,,,,,,,,,-94.11794819,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,1
