SA4_NAME_2016,ANZSCO,SA4 code,unemprate,unempscore,averageannualmvmt20132016,averscore,housepiceandrent,rent,pricescore,rentscore,income,incomescore,occunemp,occempscore,patents,trade,newbus,patscore,tradescore,newbusscore,unemprate_SA4,unempscore_SA4,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,propJVinc201316,JV_score
Capital Region,11,101,16.26229967,2,-17.04644997,1,320,320,2,2,60100,2,-2.003968254,2,-35.18518519,-1.923076923,19.40133038,0,2,2,2.410084962,3,19577,19171,-2.073862185,0,0,1
Central Coast,11,102,16.26229967,2,-13.41824824,1,570,430,1,1,58400,1,-5.882352941,1,3.370786517,15.28822055,22.36786469,3,3,3,2.956059067,2,19614,19907,1.493830937,2,139.9991297,3
New South Wales - Central West,11,103,16.26229967,2,39.72168347,3,342.5,320,2,2,56600,1,-0.881397866,3,12.90322581,-32.2147651,20.10550996,3,0,2,2.662458459,2,18054,18365,1.722609948,2,433.2935561,3
Coffs Harbour - Grafton,11,104,16.26229967,2,117.0185963,3,570,393,1,1,48600,1,-3.521491455,2,-26.92307692,-5.882352941,14.22805247,1,1,1,0.884563288,3,9875,9868,-0.070886076,0,433.2935561,2
Far West and Orana,11,105,13.88185311,3,-16.90133228,1,120,240,3,3,52000,1,-0.591581342,3,-35.71428571,36.36363636,13.96648045,0,3,1,5.035872523,0,10827,10977,1.385425326,2,69.97782705,1
Hunter Valley exc Newcastle,11,106,16.26229967,2,30.33737883,3,272.5,320,3,3,67400,2,-2.477632485,2,-43.42105263,-9.701492537,18.44284925,0,1,2,3.44116144,1,16287,16361,0.454350095,1,91.80327869,2
Illawarra,11,107,16.26229967,2,0,0,655,480,0,0,65000,2,-6.37755102,1,-28.98550725,-8.571428571,18.09018568,1,1,2,2.475010413,3,15073,15256,1.214091422,1,91.80327869,0
Mid North Coast,11,108,16.26229967,2,13.62742387,2,445,400,1,1,45100,1,-3.74556022,2,-12.12121212,-18.18181818,16.30811936,2,0,1,4.365944298,1,14834,14914,0.539301604,1,69.97782705,2
Murray,11,109,16.26229967,1,-18.46588047,1,237.65,280,3,3,53600,1,1.797289334,3,16.66666667,-8.602150538,32.62135922,3,1,3,3.591017499,1,11022,11185,1.478860461,2,69.97782705,1
New England and North West,11,110,18.64274623,1,-15.58247956,1,319,335,2,2,52500,1,-1.149425287,2,-31.42857143,-18.05555556,17.81231321,0,0,2,2.182385057,3,18896,19073,0.936706181,1,12.51141553,1
